timestamp_utc,lat_drone,lon_drone,h_agl,det_conf,det_class,target_lat,target_lon,image
2026-01-08T18:34:28Z,19.1335286,72.9117494,4.595,0.5791015625,0,19.13354529228563,72.91175669739941,
2026-01-08T18:34:31Z,19.1335258,72.9117519,4.453,0.5791015625,0,19.13354866488449,72.91177020204175,
2026-01-08T18:34:31Z,19.1335258,72.9117519,4.453,0.67822265625,0,19.133548266021982,72.91177038630076,human_crops/human_1767897271.jpg
2026-01-08T18:34:31Z,19.1335258,72.9117519,4.453,0.5576171875,0,19.13354781761952,72.91177074367641,
2026-01-08T18:34:31Z,19.1335258,72.9117519,4.453,0.515625,0,19.13354985950343,72.9117710868324,
2026-01-08T18:34:31Z,19.1335251,72.9117524,4.439,0.5224609375,0,19.13354822938856,72.91177182350941,
2026-01-08T18:34:31Z,19.1335251,72.9117524,4.439,0.55078125,0,19.133548335988344,72.91177185530829,
2026-01-08T18:34:31Z,19.1335251,72.9117524,4.439,0.505859375,0,19.13355059723298,72.91177204646351,
2026-01-08T18:34:31Z,19.1335251,72.9117524,4.439,0.5234375,0,19.133549263035103,72.91177138801822,
2026-01-08T18:34:32Z,19.1335251,72.9117524,4.439,0.5302734375,0,19.133549397896584,72.91177117483288,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.6943359375,0,19.1335495084848,72.91177119745483,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.60791015625,0,19.13354741982392,72.91177054877399,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.7041015625,0,19.133547453407107,72.91177070510999,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.79248046875,0,19.13354750508726,72.91177092864991,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.7041015625,0,19.133547512524682,72.91177108264468,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.63427734375,0,19.133550089739,72.91177287838075,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.78564453125,0,19.133550072948047,72.91177326546237,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.7705078125,0,19.13354990062196,72.91177352206655,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.63623046875,0,19.133549241899384,72.91177379725318,
2026-01-08T18:34:32Z,19.1335251,72.9117526,4.431,0.6103515625,0,19.133549109167927,72.91177444674594,
2026-01-08T18:34:35Z,19.1335265,72.9117572,4.315,0.64892578125,0,19.13355219390933,72.91177747431105,
2026-01-08T18:34:35Z,19.1335265,72.9117572,4.315,0.5126953125,0,19.13355216584215,72.91177712867794,
2026-01-08T18:34:35Z,19.1335265,72.9117572,4.315,0.76416015625,0,19.133552206803476,72.91177699506896,
2026-01-08T18:34:35Z,19.1335265,72.9117572,4.315,0.61669921875,0,19.133552067808157,72.91177691399483,
2026-01-08T18:34:35Z,19.1335265,72.9117572,4.315,0.71728515625,0,19.133551449933698,72.91177683610833,
2026-01-08T18:34:36Z,19.1335273,72.9117576,4.315,0.5283203125,0,19.133550940801822,72.91177680859359,
2026-01-08T18:34:36Z,19.1335273,72.9117576,4.315,0.58056640625,0,19.133548266714275,72.91177674463528,
2026-01-08T18:34:36Z,19.1335273,72.9117576,4.315,0.56494140625,0,19.133553319553833,72.91177693913241,
2026-01-08T18:34:37Z,19.1335283,72.9117594,4.318,0.54736328125,0,19.133551856490918,72.91177837640117,
2026-01-08T18:34:37Z,19.133529,72.9117595,4.324,0.55908203125,0,19.133552706156376,72.91177805241624,
2026-01-08T18:34:37Z,19.133529,72.9117595,4.324,0.68701171875,0,19.133550664892724,72.91177703011068,human_crops/human_1767897277.jpg
2026-01-08T18:34:38Z,19.1335298,72.9117596,4.336,0.62353515625,0,19.13355189942617,72.91177762030249,
2026-01-08T18:34:38Z,19.1335298,72.9117596,4.336,0.5244140625,0,19.133551727024233,72.91177842440332,
2026-01-08T18:34:38Z,19.1335298,72.9117596,4.336,0.55419921875,0,19.133552370946113,72.91177967160021,
2026-01-08T18:34:38Z,19.1335298,72.9117596,4.336,0.640625,0,19.13355523904401,72.91178039732449,
2026-01-08T18:34:38Z,19.1335301,72.9117601,4.341,0.5498046875,0,19.133560665986344,72.91176850902619,
2026-01-08T18:34:39Z,19.13353,72.9117604,4.394,0.71875,0,19.133551404746502,72.91176539657515,
2026-01-08T18:34:43Z,19.1335346,72.9117594,4.362,0.6845703125,0,19.1335677691863,72.91177855587691,human_crops/human_1767897283.jpg
2026-01-08T18:34:46Z,19.1335393,72.9117574,4.416,0.5947265625,0,19.133569734447992,72.91178070312189,
2026-01-08T18:34:48Z,19.13354,72.9117577,4.47,0.5048828125,0,19.13356759919712,72.91177923549337,
2026-01-08T18:34:50Z,19.13354,72.911759,4.424,0.5078125,0,19.133567309071555,72.91178012998188,
2026-01-08T18:34:52Z,19.1335395,72.9117617,4.43,0.55419921875,0,19.133567233582323,72.91178287146397,
2026-01-08T18:34:53Z,19.1335394,72.911763,4.402,0.5517578125,0,19.133566138498143,72.91178354486915,
2026-01-08T18:34:54Z,19.1335401,72.9117635,4.385,0.5458984375,0,19.133572575813147,72.91178452072374,
2026-01-08T18:34:55Z,19.1335401,72.9117639,4.402,0.5341796875,0,19.133573811240474,72.9117844389463,
2026-01-08T18:34:55Z,19.1335401,72.9117639,4.402,0.5029296875,0,19.13357420915808,72.91178455151531,
2026-01-08T18:34:55Z,19.1335401,72.9117639,4.402,0.533203125,0,19.133574360804065,72.91178461927336,
2026-01-08T18:34:55Z,19.1335401,72.9117639,4.402,0.52734375,0,19.133574548905404,72.91178464308373,
2026-01-08T18:34:56Z,19.1335403,72.9117633,4.409,0.7509765625,0,19.13357583904657,72.91178401358172,human_crops/human_1767897296.jpg
2026-01-08T18:34:56Z,19.1335403,72.9117633,4.409,0.7578125,0,19.1335760568293,72.91178406522481,
2026-01-08T18:34:56Z,19.1335403,72.9117633,4.409,0.50390625,0,19.133576195319534,72.91178396077676,
2026-01-08T18:34:56Z,19.1335403,72.9117633,4.409,0.59375,0,19.133578151704135,72.91178384799265,
2026-01-08T18:34:57Z,19.1335407,72.9117621,4.417,0.77978515625,0,19.133581800086425,72.91178279167474,
2026-01-08T18:34:57Z,19.1335407,72.9117621,4.417,0.837890625,0,19.13358186854885,72.91178275091849,
2026-01-08T18:34:57Z,19.1335407,72.9117621,4.417,0.85498046875,0,19.133581875896827,72.91178267833935,
